id,triggerDesc,deviceCategory
BP4wBtDu,The trigger fires when your smoke detector detects a smoke alarm.,Appliance
BVkreEyb,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
BZiwd3xV,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
BefRxUhm,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
BtQe5y86,Use this trigger to fire something when your electricity price stays above (or below) your set threshold for a minimum length of time in 30-minute blocks.,Thermostat/Heating
BukRc2V6,"This Trigger retrieves tomorrow's weather report within 5 minutes of the time you specify, depending on when forecast data is updated.",Light
C2hr49wt,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,Generic/Other
CA5UipKN,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",Generic/Other
CCQgDJ5B,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
CCtmbeKy,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Light
CafUFMHk,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
CpBm9Jz6,This Triggers fires when your smanos system is armed to stay (home) mode with you and/or your family in the house.,Thermostat/Heating
Crpt4hBN,Send IFTTT a tagged SMS by adding a hashtag symbol anywhere in the message (e.g. #IFTTT). ,Generic/Other
CtrxGjRP,Trigger an Applet when the door is unlocked,Light
D2xWMeyF,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Air/Climate
D3NSA7hZ,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
DAJUBR7F,Device turned on,Appliance
DAw76jUk,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
DKcWa2tM,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
DMmPJCW2,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
DNwJTaGg,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
DQZbrtC7,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Light
DR8PhBHf,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
DSjvkzW7,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
DU6upsHA,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
DVtpvKDF,This trigger is fired from the assigned pusher on your Kronaby watch.,Light
DY6NHLwz,This trigger is run every time a specific Flow has been started on Homey. In order to use this Applet you need to be an owner on your Homey and have the IFTTT Homey App installed.,Generic/Other
DYJQd63x,This Trigger monitors your local humidity and fires every time the humidity rises above the value you specify.,Generic/Other
Da3gqxWQ,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",Thermostat/Heating
DdhaVFR2,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
DqNE8Yyx,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Thermostat/Heating
DwB3s5vY,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
Dyj9dNwB,The Otiom tag has entered an alarm state,Light
DzDtgMek,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
E7AkKVhd,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Generic/Other
E8nXTYK3,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
EJACfdhL,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
EKHhQjSr,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
EN8ifQrD,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
ENimaUAg,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
EQk9bMGA,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
ES9DTueB,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
EY8naUDE,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
EbHVeNFM,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
Ee2YzbMm,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
Egu9M5Zh,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Thermostat/Heating
F2HGp6Me,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
F65JXvac,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
F96ie5Uf,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
FB375Jkq,when the smart button of the lawnmower has pressed once,Appliance
FL9EwYvn,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
FSpLvwrC,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
FVcKyBak,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
FXbiZPcR,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
FYV2Ur59,This trigger is fired from the assigned pusher on your Lotus watch.,Light
FYscf9WB,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
FZyqMN3t,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
FdSqDTXf,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
FrFHeETv,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
FsatPGUX,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
FxWKuhPE,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
FyL2rbqB,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Thermostat/Heating
FyNA7bDG,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
FzderXAt,This trigger is fired from the assigned pusher on your Jaguar watch.,Generic/Other
G4ewkmnq,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
G8XHBhqb,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
G8jJPzv5,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Thermostat/Heating
GHNhTDyA,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
GNRMsmvK,This trigger is run every time a specific Flow has been started on Homey. In order to use this Applet you need to be an owner on your Homey and have the IFTTT Homey App installed.,Thermostat/Heating
GP48dKih,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
GeGMnN7U,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
GmA6p8XE,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
GnAZemEF,This trigger monitors the UbiBot device's built-in light sensor readings and fires whenever the light level rises above or drops below the value in lux you provide. ,Light
GrxJkn3q,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
H7c6KCzy,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
H8eHRWAE,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
H9eaiBpZ,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
HAchYaEz,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
HQv2DhTE,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
HYNBg97n,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
HZCxKUhq,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
HbWB8g6a,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
HhpGTP9v,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
Hq2dyw3u,The Trigger fires every time your home enters away mode.,Light
HsEqH4zA,This trigger is fired from the assigned pusher on your Jaguar watch.,Thermostat/Heating
HsMVS9yX,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Thermostat/Heating
HtRcymg7,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
Hzrvt6jZ,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
J3D8evtn,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
JDAxXhgt,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
JNmWPZiS,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
JQWDTetA,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
JUANEcdk,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
JUmce3Kj,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
JW4z5cCv,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
JYeTkJsQ,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
JdgzFDNh,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
JfLcUXVu,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
JmUy3FNL,This Trigger monitors your local pollen levels and fires every time the pollen count rises above the value you specify (1-12). NOTE: Available only in the USA.,Light
JtP67pfh,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
JuLmXqE6,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
JzK8GyFX,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
KCvTBkVR,"Whenever a preset temperature and/or humidity change detected, SwitchBot Thermometer & Hygrometer (the Meter) will try to trigger the service. E.g. if the temperature is too high, turn on AC with the SwitchBot Hub Plus (the Hub Plus).",Thermostat/Heating
KFu3gAhe,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Light
KH5V6cPt,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
KHqKX8fP,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
KRt8UbQa,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Generic/Other
KS2YdqNH,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
KTJ6kXE2,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
KTfaUyBb,The trigger fires when your smoke detector detects a smoke alarm.,Light
KUcQpWNt,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
KXkfA6qQ,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",Generic/Other
KZnKBFX3,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
KiByQvwg,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Thermostat/Heating
Kugptrbn,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
KxuyWv78,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
KywJ6YXa,This trigger is fired from the assigned pusher on your Festina watch.,Generic/Other
LJx3r9M2,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
LMzYnVZN,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
LPaLJxm8,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
LXGgwEN6,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Air/Climate
LZkij9UC,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
Lbxs3GLM,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
LeVkxAZa,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
Litk845F,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
LjSeay6Q,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
LpYZNAsg,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
Lz2fCkbA,"You can create tags and give them to your Flics, so multiple Flics can be used with a single Recipe.",Light
M3EgLGSj,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
M3pcUBHz,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
M6gHCMSK,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
M6iAm29Y,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
MCz9nRaS,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
MDEvRKCz,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
MDRCKv9r,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
MNn6SsQg,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
MVTjd7Xs,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
MWmxThPH,This Triggers fire every time your room enters manual mode.,Thermostat/Heating
McNa5y9W,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
MhMWksPB,The trigger fires when your smoke detector detects a smoke alarm.,Light
MiENgJSA,This trigger monitors the UbiBot device's built-in light sensor readings and fires whenever the light level rises above or drops below the value in lux you provide. ,Light
Mt9Gfqc5,This Trigger fire every time your SmartThings device is unlocked.,Generic/Other
Mwe3bi8u,This trigger is run every time a specific Flow has been started on Homey. In order to use this Applet you need to be an owner on your Homey and have the IFTTT Homey App installed.,Generic/Other
N2rcdKsW,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
N46aLuxj,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Air/Climate
N5NQTmEx,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
N5SqKZuE,The Trigger fires every time your home enters away mode.,Light
NKCic3kx,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
NKHcj9sf,The trigger fires when motion sensor detects occupancy.,Light
NPfYmNSi,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
NTZEv4c9,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
Nce5uERp,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
NchAUrtx,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Thermostat/Heating
NnTfhbCx,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
NnheVs5c,This trigger is fired from the assigned pusher on your Kronaby watch.,Generic/Other
NswtqmBA,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
PEVypKmB,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
PJ3Q9nmz,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
PKHcd4D8,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
PWEhHz4y,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
PYPBJaM7,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
PftaSrk3,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
Py9CmwdR,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
QDXqnN9R,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
QDbHe7AF,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
QSjUsXnb,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
QVXe8Jcs,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
QYkJqdgh,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
Qan2iC4e,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
QcJL5Uy8,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
QecqbXxJ,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
QgHBRrap,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
QuvEcCgA,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
QvQ7LpiJ,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
QxH9JchW,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
QyuRb6ND,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
R3sj6Rze,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
R749WECJ,Virtual Device turned on,Air/Climate
R9tCQWxA,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
RBMPmw62,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
