id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
PWEhHz4y,Email,Send IFTTT an email tagged,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
PXkhnaYx,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,Energenie Mi|Home,Power off device,This Action will turn off one of your Mi|Home devices.,Generic/Other
PZJMrmAe,Wemo Dimmer,Long press,This trigger fires every time your WeMo Dimmer is turned on or off with a long press over two seconds.,Wemo Dimmer,Turn off,"This action will turn a WeMo Dimmer off. If the WeMo Dimmer is already off, it will remain off.",Generic/Other
Pcpt29YC,Android Device,Disconnects from a specific WiFi network,This Trigger fires every time your Android device disconnects from a WiFi network you specify.,ThermoSmart,Pause,This Action will pause your ThermoSmart.,Generic/Other
PdycPBGr,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Smart Life,Activate Scene,This action will activate the specified scene.,Generic/Other
PfHW5PNA,Button widget,Button press,This trigger fires every time you press the button.,Heatzy,Deactivate the child lock,This action will unlock a specific device,Generic/Other
PftaSrk3,Weather Underground,Current condition changes to,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",WeMo Insight Switch,Turn on,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on.",Generic/Other
PmCPDYSM,Android Phone Call,Any incoming phone call ends,This Trigger fires every time you answer a phone call on your Android device.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
PrL3RCAY,Wyze,Contact Sensor opens,This trigger fires when a Contact Sensor opens.,Smart Life,Turn on,This action will turn on the device/group of your choosing.,Generic/Other
PuNA2gmF,Telegram,New message with key phrase to @IFTTT,This trigger fires when you send a text message with a key phrase to the @IFTTT bot on Telegram.,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
Pv3NzM4t,WeMo Motion,New motion after quiet period,This Trigger fires every time your WeMo Motion sensor detects new motion after a specific period of inactivity.,WeMo Smart Plug,Turn on then off,This Action will turn a WeMo Switch on then immediately back off.,Generic/Other
PwqXfSEr,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
Py9CmwdR,Email,Send IFTTT an email tagged,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
Pz6pirtw,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
